Ticker, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
NBHC,0.974,20.614,20.23,19.64,0.605749486653,0.03,-0.111,-0.082,0.00148294611962,49.359,20.719,20.127,20.062,37.686,53.509,45.906,1443101400
XRM,2.363,13.872,12.72,11.509,0.512484130343,0.218,-0.449,-0.231,0.0171383647799,41.099,15.047,12.69,13.418,50.707,23.849,45.6,1443101400
DENN,0.585,11.66,11.61,11.075,0.91452991453,0.055,-0.104,-0.049,0.00473729543497,52.846,11.703,11.367,11.504,56.075,95.238,90.725,1443101400
SD,0.246,0.567,0.3,0.321,-0.0853658536585,-0.011,-0.039,-0.05,-0.0366666666667,28.721,0.54,0.444,0.356,17.009,7.407,2.469,1443101400
RGEN,5.138,37.873,36.85,32.735,0.800895289996,0.205,0.0,0.205,0.0055630936228,54.633,36.526,35.304,35.89,55.485,81.705,65.246,1443101400
RDC,2.321,18.378,16.32,16.057,0.113313227057,-0.062,-0.071,-0.133,-0.00379901960784,43.051,17.528,17.217,16.738,39.131,12.881,15.856,1443101400
VIPS,3.974,19.107,16.79,15.133,0.41696024157,0.135,-0.743,-0.609,0.0080405002978,43.8,19.384,17.12,16.93,50.296,48.958,46.644,1443101400
CCRN,2.418,15.6,16.01,13.182,1.16956162117,0.17,0.267,0.437,0.0106183635228,74.639,13.548,14.391,15.244,80.726,75.261,82.134,1443101400
EXP,9.501,84.588,73.88,75.087,-0.127039259025,-0.87,-0.104,-0.973,-0.0117758527342,34.193,78.651,79.838,76.282,23.206,17.563,15.315,1443101400
WEX,6.574,97.64,89.92,91.066,-0.174323090964,-0.094,-1.558,-1.652,-0.00104537366548,34.241,100.45,94.353,92.0,29.02,14.319,14.726,1443101400
EXPE,21.573,129.067,120.5,107.494,0.602883233672,0.476,1.851,2.326,0.00395020746888,52.335,115.134,118.281,124.068,58.118,49.373,59.057,1443101400
AEO,2.0,17.431,16.32,15.431,0.4445,0.054,-0.298,-0.244,0.00330882352941,46.849,17.19,16.431,16.306,43.17,63.014,60.588,1443101400
PODD,2.438,30.368,28.79,27.93,0.352748154225,0.077,-0.357,-0.281,0.00267453977075,43.068,30.61,29.149,29.334,52.628,35.906,40.828,1443101400
FRP,1.984,17.065,15.95,15.081,0.438004032258,0.025,-0.235,-0.211,0.00156739811912,45.217,17.007,16.073,15.814,63.857,36.946,32.723,1443101400
COH,1.999,30.472,28.73,28.473,0.128564282141,0.007,-0.576,-0.569,0.00024364775496,41.05,31.092,29.473,28.888,34.953,24.893,15.47,1443101400
UFPI,3.642,62.258,59.77,58.616,0.316858868753,-0.145,0.177,0.031,-0.00242596620378,45.001,59.784,60.437,60.466,30.303,22.0,27.63,1443101400
SRPT,8.446,40.891,38.88,32.445,0.761899123846,0.211,1.178,1.389,0.00542695473251,60.504,33.96,36.668,39.096,57.636,71.787,70.625,1443101400
RPR.V,0.011,0.035,0.035,0.024,1.0,0.0,0.002,0.002,0.0,61.256,0.025,0.029,0.031,97.267,66.667,88.889,1443101400
FITB,1.726,20.362,18.84,18.636,0.11819235226,-0.05,-0.302,-0.352,-0.00265392781316,38.723,20.413,19.499,18.916,41.977,18.405,12.221,1443101400
CBZ,0.581,10.144,9.85,9.563,0.493975903614,-0.014,0.065,0.051,-0.00142131979695,51.122,9.745,9.854,9.87,72.601,46.25,42.083,1443101400
DISCA,2.623,28.579,27.65,25.956,0.645825390774,0.245,-0.449,-0.204,0.00886075949367,47.668,29.754,27.267,28.044,38.74,54.887,57.926,1443101400
