,MFI,timestamp
CTS,43.139,1434398340
ENFC,35.265,1434398340
MLNX,57.316,1434398340
QEP,52.374,1434398340
NFX,48.869,1434398340
TOUR,34.337,1434398340
LLY,52.234,1434398340
FDS,54.26,1434398340
UFI,60.988,1434398340
LKFN,57.535,1434398340
DJCO,,1434398340
SMTC,48.014,1434398340
TEG,66.122,1434398340
CNP,57.225,1434398340
ACU,,1434398340
XL.V,,1434398340
PBI,49.93,1434398340
TSYS,54.374,1434398340
CINF,46.363,1434398340
BWC,51.187,1434398340
ALTR,41.971,1434398340
LQDT,45.563,1434398340
BWA,46.021,1434398340
CTSO,54.676,1434398340
AIRT,,1434398340
CNSI,37.905,1434398340
SIEB,,1434398340
TNK,51.452,1434398340
CRMD,58.387,1434398340
LEG.TO,43.491,1434398340
RRC,47.478,1434398340
COWN,51.554,1434398340
EAB,,1434398340
DRAM,,1434398340
WERN,45.119,1434398340
EEFT,51.489,1434398340
UFPT,47.963,1434398340
HIHO,,1434398340
TMO,52.783,1434398340
HIVE,45.438,1434398340
PNE.V,,1434398340
FBHS,48.997,1434398340
DFS,45.145,1434398340
KSS,50.386,1434398340
BGCP,46.423,1434398340
WLH,45.374,1434398340
AIR,48.045,1434398340
NMBL,55.805,1434398340
EA,42.643,1434398340
SPLS,61.577,1434398340
CENTA,55.544,1434398340
OZRK,63.581,1434398340
CDNS,59.55,1434398340
RICE,57.125,1434398340
PPO,57.795,1434398340
SNE,50.635,1434398340
CYCC,45.777,1434398340
GBR,,1434398340
BGC,49.52,1434398340
LZB,47.186,1434398340
BOKF,59.833,1434398340
ACXM,58.477,1434398340
DOC,40.97,1434398340
YNDX,53.321,1434398340
TFM,51.845,1434398340
TUBE,44.446,1434398340
NSPH,76.215,1434398340
ORBK,45.455,1434398340
MYGN,40.162,1434398340
SWAY,48.689,1434398340
MODN,85.303,1434398340
MRH,63.339,1434398340
ALOG,42.734,1434398340
MRD,54.348,1434398340
MDSO,39.673,1434398340
ZHNE,56.685,1434398340
KAR,44.969,1434398340
TESO,39.957,1434398340
PICO,43.636,1434398340
IDSY,,1434398340
ADC,61.243,1434398340
DO,53.332,1434398340
KGC,38.641,1434398340
TBNK,73.112,1434398340
CAPL,47.54,1434398340
RC.TO,,1434398340
FOXA,52.215,1434398340
SNV,44.649,1434398340
ZSAN,,1434398340
CDZI,40.251,1434398340
PBIP,50.72,1434398340
POZN,52.069,1434398340
GWRE,52.022,1434398340
BHLB,73.438,1434398340
DOW,54.337,1434398340
BLKB,43.838,1434398340
MNTA,66.311,1434398340
SNPS,42.313,1434398340
HSC,59.358,1434398340
RSO,52.823,1434398340
MARA,42.661,1434398340
TS,53.972,1434398340
PB,35.57,1434398340
HSNI,56.608,1434398340
UNTD,60.237,1434398340
LG,47.016,1434398340
SCS,48.378,1434398340
MCK,50.063,1434398340
RPM,40.148,1434398340
WSTC,54.937,1434398340
GEO,45.785,1434398340
NWL,42.617,1434398340
COP,56.494,1434398340
CHSP,56.191,1434398340
MCEP,29.301,1434398340
BMA,49.783,1434398340
CHFC,53.892,1434398340
PVG,55.321,1434398340
MSCC,48.708,1434398340
PHM.V,,1434398340
NCLH,45.884,1434398340
SALT,47.132,1434398340
SWM,63.879,1434398340
RES,60.082,1434398340
RDWR,44.979,1434398340
AM,42.744,1434398340
BHBK,59.677,1434398340
EFII,54.422,1434398340
BASI,,1434398340
DEA,49.741,1434398340
TEAR,,1434398340
FFWM,,1434398340
IFF,47.255,1434398340
HSTM,48.682,1434398340
CDI,37.641,1434398340
CYBX,56.944,1434398340
ELLI,46.507,1434398340
RPI-UN.TO,,1434398340
SO,53.262,1434398340
IPAR,33.876,1434398340
CZ.V,,1434398340
RGDX,,1434398340
GPH.V,,1434398340
COG,55.389,1434398340
DBVT,73.842,1434398340
KTOS,54.101,1434398340
BK,53.842,1434398340
TME.V,,1434398340
WCIC,28.296,1434398340
WHLR,,1434398340
LO,,1434398340
CAT,50.171,1434398340
CHKP,40.018,1434398340
WPZ,59.405,1434398340
OSK,47.219,1434398340
RIGL,56.681,1434398340
VAC,55.401,1434398340
FARE,,1434398340
TSN,43.748,1434398340
UNT,52.114,1434398340
FCAU,61.557,1434398340
FC,32.953,1434398340
LULU,56.016,1434398340
AT,47.917,1434398340
ROCK,83.785,1434398340
HDP,53.268,1434398340
SDLP,52.955,1434398340
CRME,38.591,1434398340
OKSB,45.024,1434398340
SUTR,,1434398340
LLNW,53.101,1434398340
CW,51.611,1434398340
PPY.TO,63.732,1434398340
KE,43.629,1434398340
SPKE,47.144,1434398340
TIS,47.192,1434398340
PAHC,56.939,1434398340
MTW,40.653,1434398340
CPX.TO,28.664,1434398340
XXII,55.0868,1434398340
CRIS,58.204,1434398340
MFLX,39.077,1434398340
WEN,58.691,1434398340
EGP,59.07,1434398340
CTAS,56.722,1434398340
SEV,,1434398340
ETFC,53.14,1434398340
TCK,46.894,1434398340
CEMP,46.865,1434398340
NWSA,56.316,1434398340
BAC,50.505,1434398340
XL,42.593,1434398340
ALKS,55.794,1434398340
FEIC,54.369,1434398340
