Ticker,neg,neu,pos,compound,Title,url
EXLS,0.006,0.899,0.096,0.979,Stock Update: ExlService Holdings Inc. (NASDAQ:EXLS),http://www.themarketsdaily.com/analyst-views/stock-update-exlservice-holdings-inc-nasdaqexls-2/74444/
EXLS,0.01,0.938,0.053,0.9259,ExlService Holdings Inc. (EXLS) Hits New 52-week High During October 16 Session,http://www.equities.com/editors-desk/stocks/market-movers/exlservice-holdings-inc-exls-hits-new-52-week-high-during-october-16-session
EXLS,0.005,0.893,0.102,0.9966,Vishal Chhibbar the EVP & CFO of ExlService Holdings Inc. (NASDAQ:EXLS) Unloaded 365 Shares of the Company,http://www.octafinance.com/vishal-chhibbar-the-evp-cfo-of-exlservice-holdings-inc-nasdaqexls-unloaded-365-shares-of-the-company/
HMNY,0.02,0.863,0.117,0.9962,Helios And Matheson Analytics: A Potential Candidate For Acquisition? - Helios & Matheson North America Inc. (NASDAQ:HMNY),http://seekingalpha.com/article/1719622-helios-and-matheson-analytics-a-potential-candidate-for-acquisition?source=feed_symbol_hmny
HMNY,0.0,0.937,0.063,0.4404,Helios and Matheson Information Technology... - Helios & Matheson North America Inc. (NASDAQ:HMNY),http://seekingalpha.com/news/801151?source=feed_symbol_hmny
HMNY,0.0,0.942,0.058,0.7003,HMNY quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:HMNY&amp;amp;client=news-rss&amp;amp;ei=_qouVpjBO9a_jAHqo5TIDg
HMNY,0.0,0.942,0.058,0.7003,HMNY quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:HMNY&amp;amp;client=news-rss&amp;amp;ei=_qouVpjBO9a_jAHqo5TIDg
HMNY,0.032,0.912,0.056,0.4215,Helios and Matheson Analytics Inc (HMNY) Ex-Dividend Date Scheduled for February 13 2014,http://www.nasdaq.com/article/helios-and-matheson-analytics-inc-hmny-exdividend-date-scheduled-for-february-13-2014-cm325877
HMNY,0.033,0.84,0.126,0.9931,Tues Morning Thoughts: Aethlon Medical Inc. (AEMD) Helios and Matheson Analytics Inc. (HMNY) American Campus Communities Inc. (ACC) The TJX Companies Inc. (TJX) Seattle Genetics Inc. (SGEN),http://www.wallstreetscope.com/tues-morning-thoughts-aethlon-medical-inc-aemd-helios-and-matheson-analytics-inc-hmny-american-campus-communities-inc-acc-the-tjx-companies-inc-tjx-seattle-genetics-inc-sgen/25433993/
HMNY,0.042,0.839,0.119,0.9901,Tuesdays Pre-Market Outlook: Pacific Drilling S.A. (PACD) PolyOne Corporation (POL) Helios and Matheson Analytics Inc. (HMNY) Apollo Global Management LLC (APO) CB Financial Services Inc. (CBFV,http://www.wallstreetscope.com/tuesdays-pre-market-outlook-pacific-drilling-s-a-pacd-polyone-corporation-pol-helios-and-matheson-analytics-inc-hmny-apollo-global-management-llc-apo-cb-financial-services-in/25409547/
HMNY,0.024,0.874,0.102,0.9973,Technology Stocks On The Lead - Benefitfocus (NASDAQ:BNFT) WaferGen Bio-systems (NASDAQ:WGBS) CollabRx (NASDAQ:CLRX) Helios and Matheson Analytics (NASDAQ:HMNY),http://www.wsnewspublishers.com/technology-stocks-on-the-lead-benefitfocus-nasdaqbnft-wafergen-bio-systems-nasdaqwgbs-collabrx-nasdaqclrx-helios-and-matheson-analytics-nasdaqhmny/151556/
HMNY,0.062,0.827,0.111,0.9808,Wednesday Pre-Market Thoughts: Stanley Black & Decker Inc. (SWK) EchoStar Corp. (SATS) Groupon Inc. (GRPN) ACE Limited (ACE) Helios and Matheson Analytics Inc. (HMNY),http://www.wallstreetscope.com/wednesday-pre-market-thoughts-stanley-black-decker-inc-swk-echostar-corp-sats-groupon-inc-grpn-ace-limited-ace-helios-and-matheson-analytics-inc-hmny/25444557/
BNFT,0.0,0.899,0.101,0.875,Benefitfocus +31.9% on Q4 beat Mercer investment - Benefitfocus Inc. (NASDAQ:BNFT),http://seekingalpha.com/news/2322846-benefitfocus-plus-31_9-percent-on-q4-beat-mercer-investment?source=feed_symbol_bnft
BNFT,0.019,0.769,0.212,0.9994,Looking for a Top Momentum Stock? 3 Reasons Why Benefitfocus (BNFT) is a Great Choice,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/looking-top-momentum-stock-3-124512573.html
BNFT,0.0,0.886,0.114,0.9118,BNFT quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:BNFT&amp;amp;client=news-rss&amp;amp;ei=BKsuVoH0A9iYjAHjhr74Aw
BNFT,0.0,0.886,0.114,0.9118,BNFT quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:BNFT&amp;amp;client=news-rss&amp;amp;ei=BKsuVoH0A9iYjAHjhr74Aw
BNFT,0.018,0.853,0.129,0.9988,The Insider Joseph Disabato Sold 2283095 shares of Benefitfocus Inc (NASDAQ:BNFT),http://www.octafinance.com/the-insider-joseph-disabato-sold-2283095-shares-of-benefitfocus-inc-nasdaqbnft/
BNFT,0.014,0.943,0.043,0.7506,Notable Session Mover: Benefitfocus Inc. (NASDAQ:BNFT),http://www.vanguardtribune.com/2015/10/21/notable-session-mover-benefitfocus-inc-nasdaqbnft-5/52316/
BNFT,0.021,0.851,0.127,0.9932,Benefitfocus Inc. (NASDAQ:BNFT),http://www.investornewswire.com/analyst-views/quarterly-earnings-watch-benefitfocus-inc-nasdaqbnft/46960/
EDGW,0.043,0.778,0.179,0.9983,A Look At Edgewater Technology - Edgewater Technology Inc. (NASDAQ:EDGW),http://seekingalpha.com/article/2795095-a-look-at-edgewater-technology?source=feed_symbol_edgw
EDGW,0.052,0.849,0.099,0.981,Did Christmas Come Early For The Senior Management Of Edgewater Technology? - Edgewater Technology Inc. (NASDAQ:EDGW),http://seekingalpha.com/article/1904871-did-christmas-come-early-for-the-senior-management-of-edgewater-technology?source=feed_symbol_edgw
EDGW,0.0,0.859,0.141,0.9432,EDGW quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:EDGW&amp;amp;client=news-rss&amp;amp;ei=EKsuVqnjIIWh2AaKsJlA
EDGW,0.0,0.859,0.141,0.9432,EDGW quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:EDGW&amp;amp;client=news-rss&amp;amp;ei=EKsuVqnjIIWh2AaKsJlA
EDGW,0.04,0.861,0.099,0.9825,What to know for Monday: VirnetX Holding Corp (VHC) Edgewater Technology Inc. (EDGW) iCAD Inc. (ICAD) Enterprise Financial Services Corp. (EFSC) Adobe Systems Incorporated (ADBE),http://www.wallstreetscope.com/what-to-know-for-monday-virnetx-holding-corp-vhc-edgewater-technology-inc-edgw-icad-inc-icad-enterprise-financial-services-corp-efsc-adobe-systems-incorporated-adbe/25476263/
EDGW,0.043,0.778,0.179,0.9983,A Look At Edgewater Technology - Edgewater Technology Inc. (NASDAQ:EDGW),http://seekingalpha.com/article/2795095-a-look-at-edgewater-technology
EDGW,0.035,0.868,0.097,0.9569,Clear Channel Outdoor Holdings Inc. (CCO) Tennant Company (TNC) Edgewater Technology Inc. (EDGW) Layne Christensen Company (LAYN): GAMCO Investors October Moves,http://www.insidermonkey.com/blog/clear-channel-outdoor-holdings-inc-cco-tennant-company-tnc-edgewater-technology-inc-edgw-layne-christensen-company-layn-gamco-investors-october-moves-330632/
EDGW,0.083,0.814,0.103,0.9697,Would You Vote For The Directors Of Edgewater Technology? - Edgewater Technology Inc. (NASDAQ:EDGW),http://seekingalpha.com/article/1750862-would-you-vote-for-the-directors-of-edgewater-technology
PRFT,0.0,0.94,0.06,0.4588,Perficient buying IT consulting firm for $5.3M+ - Perficient Inc. (NASDAQ:PRFT),http://seekingalpha.com/news/2786526-perficient-buying-it-consulting-firm-for-5_3m?source=feed_symbol_prft
PRFT,0.08,0.788,0.132,0.9837,Perficient: Best In Breed At A Discount - Perficient Inc. (NASDAQ:PRFT),http://seekingalpha.com/article/3339755-perficient-best-in-breed-at-a-discount?source=feed_symbol_prft
PRFT,0.098,0.86,0.042,-0.5106,Perficient -13.2% on Q2/2015 warning - Perficient Inc. (NASDAQ:PRFT),http://seekingalpha.com/news/2617775-perficient-minus-13_2-percent-on-q2-2015-warning?source=feed_symbol_prft
PRFT,0.0,0.911,0.089,0.8074,PRFT quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:PRFT&amp;amp;client=news-rss&amp;amp;ei=JasuVpnlL9e5jAHZ1rHgDA
PRFT,0.0,0.911,0.089,0.8074,PRFT quotes & news  Google Finance,http://www.google.ca/finance?q=NASDAQ:PRFT&amp;amp;client=news-rss&amp;amp;ei=JasuVpnlL9e5jAHZ1rHgDA
PRFT,0.021,0.907,0.072,0.8934,Perficient Inc. (PRFT) Prelim. Q2 Revenue Misses Expectations,http://www.streetinsider.com/Corporate+News/Perficient,+Inc.+(PRFT)+Prelim.+Q2+Revenue+Misses+Expectations/10709108.html
PRFT,0.0,0.808,0.192,0.998,Perficient Inc. (PRFT) to Acquire Zeon Solutions,http://www.streetinsider.com/Corporate+News/Perficient,+Inc.+(PRFT)+to+Acquire+Zeon+Solutions/10110389.html
PRFT,0.022,0.824,0.154,0.996,Company Shares of Perficient Inc. (NASDAQ:PRFT) Rally 0.91%,http://newswatchinternational.com/news/company-shares-of-perficient-inc-nasdaqprft-rally-0-91.html
PRFT,0.032,0.86,0.108,0.9855,Company Shares of Perficient Inc. (NASDAQ:PRFT) Drops by -3.14%,http://www.americantradejournal.com/company-shares-of-perficient-inc-nasdaqprft-drops-by-3-14/680538/
CLGX,0.038,0.884,0.078,0.9692,CoreLogic: Strong Results Likely To Continue Moderate Upside Potential - CoreLogic INC. (NYSE:CLGX),http://seekingalpha.com/article/3242096-corelogic-strong-results-likely-to-continue-moderate-upside-potential?source=feed_symbol_clgx
CLGX,0.057,0.814,0.129,0.9983,CoreLogic: An Exceptional Business With Significant Upside - CoreLogic INC. (NYSE:CLGX),http://seekingalpha.com/article/3056956-corelogic-an-exceptional-business-with-significant-upside?source=feed_symbol_clgx
CLGX,0.026,0.826,0.148,0.9998,Comparing The 2 Largest Processing Systems And Products Companies - CoreLogic INC. (NYSE:CLGX),http://seekingalpha.com/article/2780865-comparing-the-2-largest-processing-systems-and-products-companies?source=feed_symbol_clgx
CLGX,0.074,0.784,0.142,0.7269,More on CoreLogic Q3 results - CoreLogic INC. (NYSE:CLGX),http://seekingalpha.com/news/2051095-more-on-corelogic-q3-results?source=feed_symbol_clgx
CLGX,0.031,0.884,0.085,0.9774,Mortgage-Related Stocks: Is The Smart Money Buying? CLGX TREE,http://us.rd.yahoo.com/finance/external/investors/rss/SIG=121uhaaag/*http://news.investors.com/101615-776042-top-mortgage-stocks.htm?ven=yahoocp&amp;src=aurlled&amp;ven=yahoo
CLGX,0.079,0.801,0.119,0.3182,CLGX quotes & news  Google Finance,http://www.google.ca/finance?q=NYSE:CLGX&amp;amp;client=news-rss&amp;amp;ei=bKsuVtmkBoffjAGM8aj4DA
