symbol,EPS,volume,averageDailyV,float,lastClose,open,lastTrade,lastTradeDate,50DayMA
"PKI.TO",0.63,221522,309362,94603000,27.88,27.99,28.02,"11/18/2016",29.99
"BFK",1.20,170157,98706,N/A,13.64,13.69,13.57,"11/18/2016",14.85
"POW-PG.TO",N/A,3066,2364,N/A,25.20,25.25,25.09,"11/18/2016",25.48
"BTT",N/A,239403,189202,N/A,21.70,21.75,21.56,"11/18/2016",23.17
"CATO",2.58,281588,138234,22692000,30.88,31.33,32.42,"11/18/2016",30.99
"DTUS",N/A,32805,23608,N/A,31.35,31.13,31.25,"11/18/2016",29.73
"MFDB",-0.50,0,128,N/A,5.35,N/A,5.35,"11/17/2016",4.73
"WTFCW",1.02,0,N/A,N/A,40.44,N/A,40.44,"11/16/2016",N/A
"ZNN.V",-0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"NBD",N/A,34579,21115,N/A,20.56,20.52,20.54,"11/18/2016",21.63
"RSPP",-0.47,1904317,2011180,104840000,39.75,40.02,41.08,"11/18/2016",39.45
"NMZ",0.953,216824,216055,N/A,12.960,12.920,12.869,"11/18/2016",13.620
"RCMT",0.40,35661,30464,11056000,6.10,6.04,6.16,"11/18/2016",6.72
"U.TO",-1.94,97074,127243,88523000,3.69,3.69,3.65,"11/18/2016",3.80
"CHRS",-2.56,301154,431988,27567000,28.00,28.15,28.25,"11/18/2016",27.99
"HCA",6.32,4314290,3285910,328924000,74.66,74.68,72.39,"11/18/2016",76.75
"JNS",0.85,891094,1891840,135716000,13.92,14.00,14.08,"11/18/2016",13.76
"CALA",-2.01,287189,186898,9103000,3.25,3.40,3.35,"11/18/2016",2.95
"SLW.TO",-0.40,1338538,1672090,439702000,25.87,25.63,25.30,"11/18/2016",30.65
"HBCP",2.21,12373,9198,3941000,32.61,32.78,32.94,"11/18/2016",28.83
"NGG",3.41,710775,626258,709806000,58.61,58.04,58.00,"11/18/2016",64.65
"LGC.TO",-1.90,15520,19152,106662000,2.00,2.12,2.03,"11/18/2016",2.64
"PRK",5.65,28889,33272,13089000,113.01,112.90,114.51,"11/18/2016",98.37
"CBS",3.56,5428265,4660990,401911000,60.07,59.95,60.00,"11/18/2016",56.44
"BBNK",1.14,0,75908,N/A,N/A,N/A,N/A,"6/30/2015",29.09
"EFN-PE.TO",N/A,870,N/A,N/A,24.38,24.36,24.30,"11/18/2016",0.00
"TT.TO",-0.38,3072588,69041,N/A,N/A,N/A,N/A,"3/18/2016",0.01
"CY",-2.11,3546666,5460220,307065000,10.74,10.73,10.88,"11/18/2016",10.75
