Ticker,Name,StockExchange,EPS,PE,ShortR,BookValue,Divdend,MktCap,AvgVol,YearHigh,YearLow,PreviousClose
PTLA,Portola Pharmaceuticals Inc.,NMS,-3.94,None,6.75,6.13,None,2.59B,500883,57.96,26.26,49.06
WMS,Advanced Drainage Systems Inc.,NYQ,0.26,118.23,14.56,4.26,0.20,1.65B,296675,33.28,20.61,30.74
SONC,Sonic Corp.,NMS,1.20,23.07,4.57,0.34,0.44,1.38B,1231180,36.73,22.72,27.68
RGSE,Real Goods Solar Inc.,NCM,-3.9830,None,2.6100,0.2410,None,5.17M,420349,17.8000,0.4002,0.4203
CNCE,Concert Pharmaceuticals Inc.,NGM,0.69,33.13,4.02,5.84,None,507.69M,344445,25.04,10.31,22.99
VLO,Valero Energy Corporation Commo,NYQ,9.51,7.55,3.18,44.14,2.00,34.58B,6429840,72.70,43.45,71.81
LGCY,Legacy Reserves LP,NMS,-10.3010,None,7.4000,-0.7460,1.4600,217.16M,403338,21.5000,3.0900,3.1245
MYL,Mylan N.V.,NMS,1.79,28.75,7.41,19.96,0.00,25.38B,8999330,76.69,37.59,51.61
ABAX,ABAXIS Inc.,NMS,1.39,37.04,12.55,10.24,0.44,1.17B,182357,66.89,41.53,51.64
ASYS,Amtech Systems Inc.,NMS,-1.10,None,6.19,5.41,None,57.60M,57840,12.93,4.14,4.38
CMRX,Chimerix Inc.,NGM,-2.37,None,6.69,8.02,None,1.90B,401171,58.04,33.02,41.16
BCR,C.R. Bard Inc. Common Stock,NYQ,1.759,106.291,1.670,20.006,0.960,13.81B,610566,202.470,163.080,186.965
WAVX,Wave Systems Corp.,NCM,-0.361,None,1.590,-0.207,None,7.85M,389049,1.090,0.100,0.131
SEE,Sealed Air Corporation Common S,NYQ,1.320,34.269,2.040,2.236,0.520,8.93B,2375270,55.840,38.110,45.235
RPXC,RPX Corporation,NMS,0.78,17.55,7.38,9.64,None,744.54M,283085,17.31,11.94,13.69
CCK,Crown Holdings Inc.,NYQ,2.44,21.01,1.12,1.01,0.00,7.09B,812977,57.08,43.85,51.31
WRE,Washington Real Estate Investme,NYQ,0.44,62.49,11.72,11.60,1.20,1.87B,371783,30.15,23.78,27.37
AZZ,AZZ Inc.,NYQ,2.85,20.37,0.08,17.35,0.60,1.50B,170414,58.98,38.64,58.05
SCON,Superconductor Technologies Inc,NCM,-0.59,None,1.29,0.37,None,3.61M,332589,3.00,0.18,0.21
SYRG,Synergy Resources Corporation C,ASE,0.19,59.05,5.13,5.45,None,1.18B,1617220,13.60,8.14,11.22
